// Contiene le regole utilizzate da Sequenze per compilare il file;;;;;;;;;;;;
// ayv.txt che verrà poi usato per chiamare il plug-in adatto;;;;;;;;;;;;
// ad elaborare una determinata immagine;;;;;;;;;;;;
// al posto del punto e virgola metto il carattere §;;;;;;;;;;;;
// N.B. si hanno 4 directions vup verticale a crescere, vdw vertivale a scendere ;;;;;;;;;;;;
// hsx orizz. verso sx, hdx orizz. verso dx                  ;;;;;;;;;;;;
// CODICE;COMMENTO;DA PASSARE;TOTALI;IMAORDER;IMA_INCR;SPARE_1;SPARE_2;SPARE_3;COIL;DIRECTION;DEPTH;PLUGIN
//SIEMENS SIMPHONY +  AVANTO;;;;;;;;;;;;
// BODY;;;;;;;;;;;;
HUS1A;Uniformità Assiale Head;4;4;0;0;777;888;999;H14;x;30;p10rmn_
HUS1A;Uniformità Assiale Head;4;4;0;0;777;888;999;H21;x;30;p10rmn_
HUS1A;Uniformità Assiale Head;4;4;0;0;777;888;999;H22;x;30;p10rmn_
HUS1A;Uniformità Assiale Head;4;4;0;0;777;888;999;H23;x;30;p10rmn_
HUS1A;Uniformità Assiale Head;4;4;0;0;777;888;999;H24;x;30;p10rmn_
HUS1A;Uniformità Assiale Head;4;4;0;0;777;888;999;H31;x;30;p10rmn_
HUS1A;Uniformità Assiale Head;4;4;0;0;777;888;999;H32;x;30;p10rmn_
HUS1A;Uniformità Assiale Head;4;4;0;0;777;888;999;H33;x;30;p10rmn_
HUS1A;Uniformità Assiale Head;4;4;0;0;777;888;999;H34;x;30;p10rmn_
HUS1A;Uniformità Assiale Head;4;4;0;0;777;888;999;H41;x;30;p10rmn_
HUS1A;Uniformità Assiale Head;4;4;0;0;777;888;999;H42;x;30;p10rmn_
HUS1A;Uniformità Assiale Head;4;4;0;0;777;888;999;H43;x;30;p10rmn_
HUS1A;Uniformità Assiale Head;4;4;0;0;777;888;999;H44;x;30;p10rmn_
HUS1A;Uniformità Assiale Head;4;4;0;0;777;888;999;HE1-4;x;30;p12rmn_
//;;;;;;;;;;;;
HUS1S;Uniformità Sagittale Head;4;4;0;0;777;888;999;H11;x;30;p10rmn_
HUS1S;Uniformità Sagittale Head;4;4;0;0;777;888;999;H12;x;30;p10rmn_
HUS1S;Uniformità Sagittale Head;4;4;0;0;777;888;999;H13;x;30;p10rmn_
HUS1S;Uniformità Sagittale Head;4;4;0;0;777;888;999;H14;x;30;p10rmn_
HUS1S;Uniformità Sagittale Head;4;4;0;0;777;888;999;H21;x;30;p10rmn_
HUS1S;Uniformità Sagittale Head;4;4;0;0;777;888;999;H22;x;30;p10rmn_
HUS1S;Uniformità Sagittale Head;4;4;0;0;777;888;999;H23;x;30;p10rmn_
HUS1S;Uniformità Sagittale Head;4;4;0;0;777;888;999;H24;x;30;p10rmn_
HUS1S;Uniformità Sagittale Head;4;4;0;0;777;888;999;H31;x;30;p10rmn_
HUS1S;Uniformità Sagittale Head;4;4;0;0;777;888;999;H32;x;30;p10rmn_
HUS1S;Uniformità Sagittale Head;4;4;0;0;777;888;999;H33;x;30;p10rmn_
HUS1S;Uniformità Sagittale Head;4;4;0;0;777;888;999;H34;x;30;p10rmn_
HUS1S;Uniformità Sagittale Head;4;4;0;0;777;888;999;H41;x;30;p10rmn_
HUS1S;Uniformità Sagittale Head;4;4;0;0;777;888;999;H42;x;30;p10rmn_
HUS1S;Uniformità Sagittale Head;4;4;0;0;777;888;999;H43;x;30;p10rmn_
HUS1S;Uniformità Sagittale Head;4;4;0;0;777;888;999;H44;x;30;p10rmn_
HUS1S;Uniformità Sagittale Head;4;4;0;0;777;888;999;HE1-4;x;30;p12rmn_
//;;;;;;;;;;;;
HUS1C;Uniformità Coronale Head;4;4;0;0;777;888;999;H11;x;30;p10rmn_
HUS1C;Uniformità Coronale Head;4;4;0;0;777;888;999;H12;x;30;p10rmn_
HUS1C;Uniformità Coronale Head;4;4;0;0;777;888;999;H13;x;30;p10rmn_
HUS1C;Uniformità Coronale Head;4;4;0;0;777;888;999;H14;x;30;p10rmn_
HUS1C;Uniformità Coronale Head;4;4;0;0;777;888;999;H21;x;30;p10rmn_
HUS1C;Uniformità Coronale Head;4;4;0;0;777;888;999;H22;x;30;p10rmn_
HUS1C;Uniformità Coronale Head;4;4;0;0;777;888;999;H23;x;30;p10rmn_
HUS1C;Uniformità Coronale Head;4;4;0;0;777;888;999;H24;x;30;p10rmn_
HUS1C;Uniformità Coronale Head;4;4;0;0;777;888;999;H31;x;30;p10rmn_
HUS1C;Uniformità Coronale Head;4;4;0;0;777;888;999;H32;x;30;p10rmn_
HUS1C;Uniformità Coronale Head;4;4;0;0;777;888;999;H33;x;30;p10rmn_
HUS1C;Uniformità Coronale Head;4;4;0;0;777;888;999;H34;x;30;p10rmn_
HUS1C;Uniformità Coronale Head;4;4;0;0;777;888;999;H41;x;30;p10rmn_
HUS1C;Uniformità Coronale Head;4;4;0;0;777;888;999;H42;x;30;p10rmn_
HUS1C;Uniformità Coronale Head;4;4;0;0;777;888;999;H43;x;30;p10rmn_
HUS1C;Uniformità Coronale Head;4;4;0;0;777;888;999;H44;x;30;p10rmn_
HUS1C;Uniformità Coronale Head;4;4;0;0;777;888;999;HE1-4;x;30;p12rmn_
//;;;;;;;;;;;;
//;;;;;;;;;;;;
// SPINE SIMPHONY;;;;;;;;;;;;
S1FA_;Flash SPINE S1;4;4;0;0;777;888;999;xxx;vup;30;p11rmn_
S1SA_;SpinEcho SPINE S1;4;4;0;0;777;888;999;xxx;vup;30;p11rmn_
S2FA_;Flash SPINE S2;4;4;0;0;777;888;999;xxx;vup;30;p11rmn_
S2SA_;SpinEcho SPINE S2;4;4;0;0;777;888;999;xxx;vup;30;p11rmn_
S3FA_;Flash SPINE S3;4;4;0;0;777;888;999;xxx;vup;30;p11rmn_
S3SA_;SpinEcho SPINE S3;4;4;0;0;777;888;999;xxx;vup;30;p11rmn_
S4FA_;Flash SPINE S4;4;4;0;0;777;888;999;xxx;vup;30;p11rmn_
S4SA_;SpinEcho SPINE S4;4;4;0;0;777;888;999;xxx;vup;30;p11rmn_
S5FA_;Flash SPINE S5;4;4;0;0;777;888;999;xxx;vup;30;p11rmn_
S5SA_;SpinEcho SPINE S5;4;4;0;0;777;888;999;xxx;vup;30;p11rmn_
S6FA_;Flash SPINE S6;4;4;0;0;777;888;999;xxx;vup;30;p11rmn_
S6SA_;SpinEcho SPINE S6;4;4;0;0;777;888;999;xxx;vup;30;p11rmn_
//               ;;;;;;;;;;;;
// BODY ARRAY SIMPHONY;;;;;;;;;;;;
B1FS_;Flash BODY ARRAY B1;4;4;0;0;777;888;999;xxx;hdx;30;p11rmn_
B1SS_;SpinEcho BODY ARRAY B1;4;4;0;0;777;888;999;xxx;hdx;30;p11rmn_
B2FS_;Flash BODY ARRAY B2;4;4;0;0;777;888;999;xxx;hdx;30;p11rmn_
B2SS_;SpinEcho BODY ARRAY B2;4;4;0;0;777;888;999;xxx;hdx;30;p11rmn_
//           ;;;;;;;;;;;;
// BODY ARRAY AVANTO;;;;;;;;;;;;
B1FA_;Flash BODY ARRAY B1;4;4;0;0;777;888;999;xxx;hdx;30;p11rmn_
B1SA_;SpinEcho BODY ARRAY B1;4;4;0;0;777;888;999;xxx;hdx;30;p11rmn_
B2FA_;Flash BODY ARRAY B2;4;4;0;0;777;888;999;xxx;hdx;30;p11rmn_
B2SA_;SpinEcho BODY ARRAY B2;4;4;0;0;777;888;999;xxx;hdx;30;p11rmn_
B1FB_;Flash BODY ARRAY B1;4;4;0;0;777;888;999;xxx;hdx;30;p11rmn_
B1SB_;SpinEcho BODY ARRAY B1;4;4;0;0;777;888;999;xxx;hdx;30;p11rmn_
B2FB_;Flash BODY ARRAY B2;4;4;0;0;777;888;999;xxx;hdx;30;p11rmn_
B2SB_;SpinEcho BODY ARRAY B2;4;4;0;0;777;888;999;xxx;hdx;30;p11rmn_
//;;;;;;;;;;;;
// BODY ARRAY AVANTO SAVE UNCOMBINED;;;;;;;;;;;;
A12S_;SpinEcho BODY ARRAY B1;4;4;0;0;777;888;999;BO1;hdx;30;p11rmn_
A12F_;Flash BODY ARRAY B1;4;4;0;0;777;888;999;BO1;hdx;30;p11rmn_
A12S_;SpinEcho BODY ARRAY B2;4;4;0;0;777;888;999;BO2;hdx;30;p11rmn_
A12F_;Flash BODY ARRAY B2;4;4;0;0;777;888;999;BO2;hdx;30;p11rmn_
B12S_;SpinEcho BODY ARRAY B1;4;4;0;0;777;888;999;BO1;hdx;30;p11rmn_
B12F_;Flash BODY ARRAY B1;4;4;0;0;777;888;999;BO1;hdx;30;p11rmn_
B12S_;SpinEcho BODY ARRAY B2;4;4;0;0;777;888;999;BO2;hdx;30;p11rmn_
B12F_;Flash BODY ARRAY B2;4;4;0;0;777;888;999;BO2;hdx;30;p11rmn_
//;;;;;;;;;;;;
// BODY ARRAY AERA SAVE UNCOMBINED;;;;;;;;;;;;
C1AS_;SpinEcho BODY ARRAY B01A;4;4;0;0;777;888;999;BO1;hdx;30;p12rmn_
C1AF_;Flash BODY ARRAY B01A;4;4;0;0;777;888;999;BO1;hdx;30;p12rmn_
C1BS_;SpinEcho BODY ARRAY B02A;4;4;0;0;777;888;999;BO2;hdx;30;p12rmn_
C1BF_;Flash BODY ARRAY B02A;4;4;0;0;777;888;999;BO2;hdx;30;p12rmn_
C1CS_;SpinEcho BODY ARRAY B03A;4;4;0;0;777;888;999;BO3;hdx;30;p12rmn_
C1CF_;Flash BODY ARRAY B03A;4;4;0;0;777;888;999;BO3;hdx;30;p12rmn_
//;;;;;;;;;;;;
C1AS_;SpinEcho BODY ARRAY B01A;4;4;0;0;777;888;999;B11;hdx;30;p10rmn_
C1AF_;Flash BODY ARRAY B01A;4;4;0;0;777;888;999;B11;hdx;30;p10rmn_
C1BS_;SpinEcho BODY ARRAY B02A;4;4;0;0;777;888;999;B21;hdx;30;p10rmn_
C1BF_;Flash BODY ARRAY B02A;4;4;0;0;777;888;999;B21;hdx;30;p10rmn_
C1CS_;SpinEcho BODY ARRAY B03A;4;4;0;0;777;888;999;B31;hdx;30;p10rmn_
C1CF_;Flash BODY ARRAY B03A;4;4;0;0;777;888;999;B31;hdx;30;p10rmn_
//;;;;;;;;;;;;
C1AS_;SpinEcho BODY ARRAY B01A;4;4;0;0;777;888;999;B12;hdx;30;p10rmn_
C1AF_;Flash BODY ARRAY B01A;4;4;0;0;777;888;999;B12;hdx;30;p10rmn_
C1BS_;SpinEcho BODY ARRAY B02A;4;4;0;0;777;888;999;B22;hdx;30;p10rmn_
C1BF_;Flash BODY ARRAY B02A;4;4;0;0;777;888;999;B22;hdx;30;p10rmn_
